,smiles,logP
3763,C(C(C[S])O)O,-0.8
3764,C(C(CN)NN)N,-2.8
3765,C(CS)OCCI,1.5
3766,C(C(CI)Br)Cl,2.7
3767,[2H]C([2H])(C)CCCCC([2H])([2H])C,3.9
3768,C(COCCl)N,-0.2
3769,C(C(CN)CN)N,-2.3
3770,C1CS[CH+]CN1,0.2
3771,CNNCCO,-1.1
3772,CC(CBr)Br,2.2
3773,CCC[C@H](C)CBr,3.2
3774,C(OF)(OF)F,1.6
3775,[2H]C([2H])(C(OC)OC)Br,0.9
3776,C=IS,2.0
3777,CSC=CSC,1.5
3778,C[C@@H]1[C@H](S1)C,1.5
3779,CCPPC,0.2
3780,CC(CCl)CCl,2.2
3781,CBr,1.0
3782,C(CCC[O])CC[O],0.3
3783,CN(Br)Br,1.2
3784,CCC(CC[NH3+])[NH3+],-0.3
3785,CS(C)(C)S,1.4
3786,CO[CH-]I,0.8
3787,[2H]C([2H])(C)I,2.1
3788,CCC(F)Cl,2.2
3789,CCCCCCSN,2.1
3790,[2H]C([2H])(C([2H])(C([2H])([2H])O)Br)O,-0.3
3791,C1=CSP=C1,-0.7
3792,[2H]CCCCCCO,2.0
3793,CCCCCNF,1.6
3794,C(F)(F)SS,1.9
3795,C(C(O)Br)(O)Br,0.7
3796,C[C]1OCCO1,0.2
3797,CNNSI,0.8
3798,CCCCC(F)P,2.2
3799,C(COF)OF,1.0
3800,CCCP(F)F,1.9
3801,CC(C)N(C)[O],0.6
3802,CC/C=C/SC,2.0
3803,C[P+](C)(C)C,0.0
3804,C(OCBr)Br,1.8
3805,COCC[C]=C,1.2
3806,CN(C)CCCI,1.9
3807,CSCSCN,0.8
3808,CCNC=CC,1.4
3809,CCC(CC)O[O],1.4
3810,C[C@@H](N)OC[O-],0.2
3811,[CH2-]C([CH2+])C([CH2-])[CH2+],3.4
3812,CC(C)NCl,0.9
3813,[2H]C([2H])I,1.5
3814,[CH2-]CCCCCC[CH2+],3.9
3815,CC(CCF)CN,0.8
3816,[C]#CI,1.2
3817,CC(CSC)PC,1.0
3818,C[C@H](CN)COC,-0.1
3819,C(CCl)SBr,2.0
3820,C([35Cl])([35Cl])([37Cl])[37Cl],2.8
3821,C1=NC=NP=N1,-0.8
3822,C1=[C]S[C]=N1,0.4
3823,CCC(C)CP,1.6
3824,CN(C)CC=[CH],0.9
3825,C[C@@H](C=O)S,0.4
3826,CCNCNN,-0.9
3827,COOSC,0.6
3828,C(=S)(Cl)Cl,2.4
3829,CCO/C=C/C,1.4
3830,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O,2.7
3831,[2H]C1C(C(NC(C1([2H])[2H])[2H])[2H])([2H])[2H],0.8
3832,CC([14CH2]OC)O,-0.2
3833,C(CS)[CH-]S,1.2
3834,C1C(CC1Cl)Cl,2.0
3835,COSOO[O-],0.0
3836,CCOC(O)O,-0.7
3837,CC[CH-]C(C)(C)C,3.6
3838,C1CC1CCF,2.0
3839,[2H]C([2H])([2H])C(C)(C)Cl,1.8
3840,CCC1COC1,1.0
3841,C([12C](F)(F)F)F,1.7
3842,C(C(Br)Br)S,2.2
3843,CC(C)CCNCl,1.8
3844,CNCCCCCS,1.2
3845,C(C(CN)ON)N,-2.5
3846,CCO[C-](C)C,0.9
3847,CCOP(C)O,-0.1
3848,C[CH]C(C)(C)C,3.0
3849,C(O[C]=O)Cl,0.8
3850,C1CCCCCCCCC1,5.6
3851,C([C-](O)O)(O)O,-2.2
3852,CCCOOS,1.5
3853,[2H]C(I)I,2.3
3854,CCCC(CC)Cl,3.0
3855,CC(C)N(I)I,1.8
3856,C(COO)OCO,-1.1
3857,[2H]C([2H])(CCl)F,1.2
3858,CCCCN(C)[CH],1.7
3859,CPN=S,1.3
3860,CC(N)NI,-0.3
3861,COCCC[NH+][CH2-],0.0
3862,C(CPS)F,0.7
3863,CC[C@H](CCl)N,0.8
3864,C(F)(F)([35Cl])[35Cl],2.3
3865,[2H]C([2H])([2H])CCCC=C,3.4
3866,CC[C@H](CO)Cl,1.1
3867,CC(CSC)Cl,1.9
3868,[2H]C(C(Cl)Cl)F,1.9
3869,CCS[S+](C)C,1.7
3870,CC(F)P(C)C,0.8
3871,[2H]C(C)(C)NC([2H])(C)C,1.4
3872,CSOOOO,0.1
3873,CP1CCO1,-0.2
3874,C1CSPN1,-0.1
3875,C(O)(F)(Br)Br,1.6
3876,C(CSO)SO,-0.3
3877,[2H]C1(C(C(C(C(C(C(C1([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])[2H],4.5
3878,C(O)(O)(O)O,-2.3
3879,C(C(CBr)N)N,-0.8
3880,C/C=C\CCN,0.6
3881,CCCCCCC[CH],3.9
3882,C(=C/Br)\S,1.3
3883,CC(CCO)CI,2.0
3884,[3H]P(C)OC(C)CC,1.3
3885,CC(C)NCCN,-0.3
3886,C([NH+](CF)CF)F,1.6
3887,COCP[PH3+],-0.3
3888,C[I-]CO,0.9
3889,[2H][N+]1=CC=CC=C1,1.1
3890,CC(CCO)CBr,1.5
3891,[2H]C([2H])(C)SCCC,2.1
3892,CC[C](C)CC,3.2
3893,C[S+]1CCC1,1.0
3894,C(CN)C(Cl)Cl,1.0
3895,CC(Cl)(Cl)Br,2.6
3896,CCC([CH2])Cl,2.3
3897,CNOCSC,0.6
3898,CC(C)(C)C[NH-],1.0
3899,CC[NH+](C)CO,0.0
3900,C[C@@H](CO)S,0.3
3901,CC(Cl)(I)I,2.6
3902,CPCCCl,0.5
3903,C(CP)C(CP)P,-0.3
3904,CCC(CSC)O,1.2
3905,CCSI(O)O,1.1
3906,C=CC[CH]Cl,1.9
3907,CCCOOOI,1.9
3908,[2H]C1=CN=CC(=N1)[2H],-0.2
3909,CC(C=C)Br,2.0
3910,CC[C@H](CN)N,-0.7
3911,C(/C=C/Cl)Cl,1.7
3912,CCC(CS)S,1.8
3913,C(=P)(F)F,0.0
3914,C(CSF)S,1.3
3915,C(N(CO)CO)O,-1.5
3916,C[C@@H](CCCl)Br,2.4
3917,[3H][I-]CP,0.7
3918,C(C(O)Br)Cl,1.1
3919,CC(CCC[CH2])F,2.8
3920,CNCCCCCF,1.2
3921,CN(N)PS,-0.1
3922,[2H]C(CCCC)S,2.3
3923,CCC(C)CS,2.2
3924,CC(P)PI,1.0
3925,CC(C(C)S)O,0.7
3926,C([C@H](CF)O)N,-1.0
3927,[2H]C(F)(F)Cl,1.8
3928,CC[NH2+]C(C)C,0.9
3929,CSC(Br)Br,2.7
3930,C[C@H](CO)I,1.1
3931,CN(C)P(C)[O-],-0.4
3932,CCN(CC)[N][O-],0.2
3933,COC(CS)OC,0.4
3934,COP(F)Cl,1.3
3935,CCCC[CH-]O,1.6
3936,CCC[C+](C)C,3.2
3937,CCPOPO,-0.3
3938,CCNC[C]=O,-0.3
3939,[2H]CCCI,2.6
3940,CC(C)COCN,0.6
3941,COSSI,1.8
3942,CCSOSCC,1.7
3943,CCCCC(C)Cl,3.0
3944,[2H]OCCBr,0.2
3945,CC(CO)C[O],-0.3
3946,C(COCCO)[NH3+],-1.5
3947,[2H]C([2H])(C([2H])([2H])S)C([2H])([2H])S,1.2
3948,CC[C@@H](CF)O,0.8
3949,C1CS[CH]CN1,0.2
3950,C(CF)[NH2+]CCF,0.5
3951,C=COCBr,1.7
3952,C(F)(F)(F)S,1.7
3953,CSCCNO,0.0
3954,C[C@H]([C@@H](C)N)N,-0.8
3955,C(COS)N,-0.4
3956,CC(C)C(O)Br,1.8
3957,CC(C[NH3+])C[NH3+],-0.9
3958,COOOCOOO,-0.3
3959,CNOO[S-],0.4
3960,[CH-](P)I,0.7
3961,C1P(CS1)O,0.1
3962,CNC(CS)N,-0.7
3963,C(C(F)F)OF,1.5
3964,COSOS,1.0
3965,CCOC[S+](C)C,1.2
3966,C[CH][C@H](C)NP,1.0
3967,[3H]C(P)P,-0.3
3968,C(CBr)SSCCBr,2.4
3969,C(COCP)N,-1.1
3970,C(COOOOO)O,-1.0
3971,[2H]C(F)(Cl)Br,2.2
3972,[2H]C([2H])(CCC(C)C)O,1.6
3973,CCOPP,0.2
3974,COCCCCCBr,1.9
3975,CNCSC,0.5
3976,C1CC1CCS,2.0
3977,[CH2]CCNC=O,0.4
3978,CCNN(C)S,0.9
3979,C[C@H](CCO)OC,0.2
3980,CCC(CCO)Br,1.6
3981,CCCC([O-])[O-],2.5
3982,CC(=C)[CH]Cl,2.1
3983,C(CCl)[C@H](O)Cl,1.2
3984,CCSSSSC,2.2
3985,C(C(CO)I)N,-0.4
3986,COC(OC)OC,0.2
3987,[CH2+]CCCCC[NH-],2.1
3988,C(CCl)OCP,0.4
3989,CCCNCCCBr,1.8
3990,CPCCN,-1.0
3991,CC(C)CNCCl,1.8
3992,C[13CH2]CC(C)C,3.2
3993,C=CCSON,0.4
3994,CSOCCOSC,0.8
3995,C(CCl)C(Br)I,2.7
3996,CC(CCP)Br,1.5
3997,C(CCCl)C[S-],1.8
3998,CCCOCI,1.7
3999,C(COCC[O])N,-1.5
4000,[2H]C([2H])(Br)Br,1.8
4001,COCOCC[CH2],0.9
4002,C1SCSS1,1.5
4003,C(CSCCI)O,1.3
4004,C(S(=O)[O-])Cl,-0.5
4005,CCCP(C)SC,1.3
4006,CCCCN(N)N,0.0
4007,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])Br,3.8
4008,CN(C)N(N)N,-1.0
4009,[2H]CC(C)Br,1.8
4010,[CH2-]CC[CH]CC[CH2+],4.4
4011,C=C([CH2+])Br,1.9
4012,C(=O)(Cl)I,1.7
4013,C[P+](C)(S)S,0.9
4014,C(C(F)F)OO,0.4
4015,C1NNNNN1,-1.3
4016,C=1=C=PON1,0.1
4017,C(OO)S,0.0
4018,C(CI)NC(N)N,-0.7
4019,CCCCCC[I-]Br,4.8
4020,C(CN(N)N)N,-2.2
4021,C1CC1CCBr,2.5
4022,[2H]C(C)(C)Br,1.8
4023,CCOCC(C)[CH2],1.8
4024,[2H]C(=O)C(C)Br,0.9
4025,CCOCCOBr,1.2
4026,CC(CO)CSC,1.0
4027,CSSCSSSC,2.1
4028,C(F)(I)I,2.1
4029,CCC(C)CCl,2.5
4030,CCC(C)ON,0.7
4031,CSCCO,0.2
4032,CC(C)CC[CH2-],3.2
4033,[2H]C([2H])(CC)CCBr,3.4
4034,[13CH2](/[13CH]=[13CH]\[13CH2]O)O,-0.8
4035,CCCPCC,1.2
4036,CC(CCN)N,-0.9
4037,C1C(N1)Br,0.5
4038,[2H]C([2H])(CN)Br,0.0
4039,C1=CP=CC=P1,-2.1
4040,CCOP([O-])[O-],-0.8
4041,CSSC(Cl)Cl,2.4
4042,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])CBr,3.8
4043,C(=O)[C@H](S)I,0.8
4044,CI1CCCC1,3.7
4045,[13CH3]SCCO,0.2
4046,CCCC=P,-0.2
4047,[3H]CS(=O)C,-0.6
4048,C[C@@H](C(C)I)I,3.3
4049,CCOCC(I)I,2.2
4050,CSCOOCl,1.7
4051,C(CN)[C@H](CN)N,-2.2
4052,CC[C@H](CNC)F,1.1
4053,C1NCSCN1,0.1
4054,CN(C)CI,1.0
4055,[2H]C([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])[2H],3.4
4056,[CH2]CCCOCCO,0.8
4057,C(CI)SCS,2.4
4058,CCC[NH+]=[C-]C,0.7
4059,C[C@@H](CN)[S-],0.0
4060,CI(N)F,1.2
4061,C(O[O])(OF)F,0.6
4062,C(=S)(Cl)Br,2.5
4063,C[Cl+]CCl,1.5
4064,C(N)(P)(P)I,-0.5
4065,CCC(COC)F,1.4
4066,[3H]CSOPO[3H],-0.1
4067,CNCSNC,-0.1
4068,[2H]C([2H])([2H])C(CO)C([2H])([2H])[2H],0.8
4069,C[CH+]CC([CH+]C)O,1.7
4070,C1C[CH]NOC1,0.3
4071,CCCSSCCC,2.7
4072,CCCC(C)[PH-],1.6
4073,C/C=C\Br,1.8
4074,CCC[C@H](CBr)N,1.4
4075,[CH2-][NH+]CC1CC1,0.5
4076,C(CO)NCO,-1.5
4077,C(C(CO)NN)O,-2.3
4078,C(NC(F)F)O,0.2
4079,CCC[C@@H](C)CI,3.9
4080,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])S,2.3
4081,[2H][C@@](CO)([13CH2]O)O,-1.8
4082,[CH]=CCOCCl,1.4
4083,CC(=C)CS,1.8
4084,CSOP,0.4
4085,C1=NS[C]=N1,0.8
4086,CC(C)N(O)O,0.1
4087,CS(=P)I,1.8
4088,C[C@H](CCI)O,1.4
4089,[2H]C([2H])(C([2H])([2H])Br)C([2H])([2H])Br,2.4
4090,[2H][13C]([2H])([2H])[13C](=O)Cl,0.8
4091,CCCCN=O,0.8
4092,C(CO)CONCl,-0.2
4093,C(C(CCl)F)O,0.5
4094,CC(CCl)Cl,1.8
4095,[2H]C(CCC)OCCO,0.8
4096,C(Cl)(Br)(Br)I,3.2
4097,CC[N-]CCF,0.5
4098,CCCC[CH]COO,1.9
4099,CN(C)CC[S-],0.6
4100,C(C(N)Cl)O,-0.6
4101,C(C(CBr)Cl)N,0.7
4102,C1CS[13CH2]CN1,0.2
4103,CCOOOCCO,-0.1
4104,CC(C)NOS,1.1
4105,C1CPCCO1,-0.5
4106,C(=C\Br)\Br,1.9
4107,[2H]C1(C(O1)([2H])CCl)[2H],0.5
4108,[CH2]OBr,1.0
4109,C(COBr)O,0.3
4110,CC[C@@H](C)CBr,2.7
4111,CCC[NH2+]CC[NH2+]C,0.3
4112,[2H]C([2H])([2H])C(C(C)C)O,1.3
4113,CCI1CCC1,3.7
4114,CC[C-](CC)CS,2.6
4115,C=CCOOCl,1.6
4116,CC(CCCS)Br,2.4
4117,C(CF)OCCCl,1.0
4118,COCCC[O-],0.9
4119,CCNCP,-0.1
4120,C(/C=C/Br)I,2.4
4121,CCC(C[CH2])Cl,2.7
4122,CI1CN1,0.5
4123,CC(C)C(C)[CH2],3.4
4124,C(CCBr)C[NH3+],0.8
4125,CCCSCCC,2.7
4126,[3H]C1=[C]C(=C(C(=C1[3H])[3H])[3H])[3H],2.1
4127,CNCCNC[CH],-0.2
4128,CCC[S+](C)CC,2.2
4129,CC(C)CCSBr,3.1
4130,[2H]C([2H])(CCCO)O,-0.8
4131,CCP(F)I,1.7
4132,CCCC[C@@H](O)Cl,2.1
4133,CCC(F)P,1.3
4134,C1COOSC1,0.7
4135,CC(C)[NH+](C)O,0.6
4136,CO[C@@H](CCO)O,-0.8
4137,[2H]C(C(Cl)(Cl)Cl)O,1.4
4138,CCCCCC[I-]I,5.1
4139,C1CCSSC1,1.4
4140,CCC(C)[C-](C)C,3.4
4141,C1CSOP1,0.2
4142,C(=P)P=O,-1.6
4143,CCOCC(C)Cl,1.5
4144,[2H]C([2H])(C(F)(F)F)O[2H],0.4
4145,C(C(CF)O)N,-1.0
4146,C[NH+](C)CC[NH3+],-0.7
4147,CC([CH2])CC=C,2.7
4148,COPS,0.4
4149,C(CF)NC=S,0.5
4150,CONI,0.2
4151,CCC(F)S,1.9
4152,CCCC[SH+]CCCC,3.4
4153,CCNNC=O,-0.3
4154,CCC(CO)OC,0.4
4155,C(COCl)O,0.2
4156,[13C](#[15N])Br,1.1
4157,C1(OC(O1)O)O,-1.1
4158,C1CCC(C1)[18F],1.8
4159,C[C@@H](CI)N,0.8
4160,C(CF)N(F)F,0.7
4161,CCCN(C)NN,0.2
4162,CCCP(P)P,0.6
4163,CSSC,1.8
4164,CCOCC(Br)Br,2.1
4165,C(CNO)C=O,-1.3
4166,CC(N)(Br)Br,1.3
4167,[CH2-]C([CH2+])([CH2+])C[S-],2.2
4168,C[C](C)CCCCl,2.9
4169,[13CH2]1[13CH2]S[13CH2][13CH2]N1,0.2
4170,CC(C)C(N)F,1.1
4171,C(CF)C(N)F,0.5
4172,[CH]CC1CS1,1.6
4173,C(C(O)O)F,-1.3
4174,CSON=O,0.5
4175,CCC(CI)Cl,2.9
4176,CCCPCCPC,0.5
4177,CCP(Br)Br,2.2
4178,CC(C)C(S)S,2.3
4179,CCCCCCF,3.4
4180,C(CS)C(F)F,1.7
4181,CCP(F)F,1.4
4182,C1C(CS1)N,-0.2
4183,CCSOOC,0.9
4184,C#C[I-]I,2.1
4185,C(CNO)CBr,0.4
4186,CC(CO)[N-]C,-0.5
4187,CN(ONO)I,0.0
4188,COCOOCCO,-0.6
4189,[2H]C([2H])(C(C)(C)C)O,1.3
4190,CCC(CC)CBr,3.0
4191,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])OC([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],2.0
4192,[3H]C1COCCN1,-0.9
4193,CCI=CC,1.5
4194,CC(C)C(F)Cl,2.7
4195,C(CNCC[NH3+])[NH3+],-2.1
4196,CNCCNI,-0.3
4197,CCOSCOC,0.8
4198,C[CH]C(O)SC,1.2
4199,C[C@@H](CCO)NC,-0.1
4200,C[C@@H](C[C@H](C)O)O,0.1
4201,CC[IH+],2.1
4202,C[C@H]1CCS1,1.4
4203,C1=CN=[C][NH+]=C1,0.4
4204,C(COPF)N,-0.4
4205,CCC(CF)Br,2.3
4206,C1C[N]SC1,0.4
4207,[2H]C([2H])([2H])C([2H])(C([2H])([2H])[2H])NC([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H],1.4
4208,C[C@@H](CCCl)NC,1.2
4209,C(C(O)F)O,-0.6
4210,[2H]C([2H])([2H])C([2H])([2H])C(C)CCCC,4.3
4211,CC(C)OCP,0.7
4212,CSPO,-0.1
4213,CCCCCSCO,2.1
4214,C([14CH](CO)O)O,-1.8
4215,C(CN)CN=N,0.3
4216,C(=O)([O-])I,1.3
4217,C(/C=C\CS)S,1.1
4218,[2H][13C]([2H])([2H])I,1.5
4219,C(C(S)Cl)Cl,1.9
4220,CCCCOF,1.9
4221,[2H]C(C)(CCCBr)O,1.4
4222,CC/C=N/S,1.0
4223,[2H]C([2H])(CC)CCl,2.6
4224,[CH2]CCCCCO,2.0
4225,COOCBr,1.0
4226,CCCCCC[CH],4.4
4227,C(CCS)CNI,1.1
4228,C(CBr)OCCl,1.5
4229,CC(PO)Br,0.7
4230,C/C=C\C[CH+]C,2.6
4231,C(CCSN)CN,-0.5
4232,C(CCCS)CCP,1.6
4233,CC[C@@H](C)S,1.8
4234,C[CH][CH]C([CH]C)N,1.5
4235,CCC(CC)PC,1.8
4236,CCC(NO)O,-0.3
4237,CC(C)[11CH2]I,2.8
4238,C1C(CS1)Br,1.5
4239,CSPCl,1.1
4240,CCOC1CC1,1.0
4241,CCOCCCF,1.1
4242,CCCC[NH2+]CCCC,2.8
4243,C(C[15NH]CC[15NH2])[15NH2],-2.1
4244,C[C@H]([C@@H](C)Cl)O,1.0
4245,C(C[NH3+])CO[NH3+],-1.3
4246,CP(C)CP,-0.3
4247,CNNNNNI,-0.8
4248,CC(CCO)CN,-0.2
4249,C=CI(F)F,2.8
4250,COC(C[O-])C[O-],1.0
4251,CC[C@H](CI)NC,1.9
4252,CCP(OC)OC,0.4
4253,CCCCOSI,2.6
4254,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])O,1.6
4255,[13CH](Cl)(Cl)Br,2.4
4256,C(N)N(CN)ON,-2.1
4257,C(C(Cl)Br)(Cl)Br,3.3
4258,C(COP)ON,-0.9
4259,[CH-](OC=O)P,-0.1
4260,C1C[CH]OSC1,1.0
4261,C(CN)C(CN)N,-2.2
4262,CCC(O)SC,1.2
4263,COCPP,-0.3
4264,CCS/C=C\C,2.0
4265,[2H]C(COCCCC)O,0.8
4266,CCOCCI,1.5
4267,CN[I-]P,0.0
4268,CC(CSN)N,-0.8
4269,[CH2-]C1CCCC1,3.4
4270,CCC[CH-]CCC,4.4
4271,C(NCI)S,0.9
4272,C1CO[CH]SC1,1.0
4273,C(CSCCI)N,1.0
4274,[2H]C([2H])([13C]([2H])(C([2H])([2H])O[2H])O[2H])O[2H],-1.8
4275,C(F)SN,0.2
4276,[CH](C(F)(F)F)Cl,1.9
4277,CCCCNC,1.3
4278,CCOOPC,0.4
4279,C(O)SOP,-0.2
4280,[2H]C([2H])(CC)CCCl,2.6
4281,[3H]OCCOCCO,-1.3
4282,CCCSSN,1.1
4283,CC(C)C(C)[CH],3.4
4284,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],3.9
4285,C(F)(F)(F)PF,1.7
4286,C(SO)Cl,0.7
4287,[2H]C(=O)C([2H])(C([2H])([2H])[2H])C([2H])([2H])[2H],0.8
4288,C1COCS[CH]1,1.0
4289,COP([NH-])OC,-0.7
4290,CCC=[C]CO,0.9
4291,CCCCSOCC,2.1
4292,C=CCNS,0.9
4293,CCCC(C)CC[CH],4.3
4294,C[I-]C#C,1.8
4295,COP(Br)Br,1.9
4296,C1=[C+]N=NN=N1,-1.2
4297,[2H]C=C([2H])CBr,1.8
4298,C[CH]CCCO,1.6
4299,CCCCCF,2.3
4300,CCC/C=C/[OH2+],1.7
4301,COCCON,-1.0
4302,[2H]C([2H])([2H])C([2H])(CCBr)C([2H])([2H])[2H],2.7
4303,CNC=CCl,1.1
4304,CCCCP(C)O,0.7
4305,CNC1C[CH]C1,0.7
4306,[2H][C@@](F)(Cl)Br,2.2
4307,C=NCCNN,0.2
4308,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])N([2H])[2H],1.0
4309,[2H]C([2H])([2H])OP(OC([2H])([2H])[2H])OC([2H])([2H])[2H],0.1
4310,CCCCOOOO,0.9
4311,C1=NC=NC=N1,0.0
4312,C(C(CCl)F)F,1.6
4313,C[C@H](CSC)O,0.6
4314,CCOSS,1.4
4315,C[CH]P[CH]C,0.7
4316,CCCCPS,1.7
4317,CCN(P)P,0.4
4318,CC[C-](C)C(C)C,3.4
4319,C(COPO)O,-1.2
4320,C(COO)COO,-0.7
4321,CC(C)[CH]CO,1.2
4322,C1CN[CH]OC1,-0.1
4323,CC(C)C(C)C[CH2-],3.4
4324,C(CSN)N,-1.2
4325,CCCC(CCl)Cl,2.7
4326,CSSCF,1.4
4327,CCC(C)I,2.8
4328,CCCCC[CH-]CC,3.9
4329,C1CC1Br,1.5
4330,CC(C)([CH])[CH][CH],3.0
4331,[3H]COSI,1.4
4332,CCC[C@@H](C)PF,2.1
4333,[2H]ON(CC)CC,0.5
4334,CSCC[OH+]CO,0.1
4335,CCOPCCN,-0.6
4336,CCNNCl,0.2
4337,CPN=PC,0.0
4338,CCC(NC)OC,0.7
4339,C1CCOOCC1,1.0
4340,C(N)SC(N)N,-1.6
4341,CC(C)CCC[NH3+],1.3
4342,[CH2]CNCCN,-0.8
4343,[CH](C(Cl)(Cl)Cl)Cl,2.7
4344,CCSC(C)[CH2],2.0
4345,CC(NO)SC,0.5
4346,C(/C=C/N)I,1.0
4347,C1CNC[N]C1,-0.4
4348,C[C@@H]([C@@H](C)Br)F,2.2
4349,C(CN=P)CO,-0.3
4350,CCSCN,0.4
4351,CC(C)CCC[PH3+],1.9
4352,C1NCOCO1,-0.4
4353,CCCCCCOO,1.9
4354,C(S)(SP)I,1.5
4355,C1=[C]N=NN=C1,-0.7
4356,CC(N)NCCN,-1.6
4357,C[C@@H](C(C)C)O,1.3
4358,CCCCCCI,4.2
4359,C=CPOCl,1.2
4360,C[C@H](C(C)P)P,0.4
4361,C1(NN1)I,0.2
4362,CC/C=C\CO,0.9
4363,CCC(OC)Br,1.9
4364,CCC(CC)[NH+][CH2-],1.7
4365,C1NNCS1,0.2
4366,CCCSC(C)P,2.0
4367,[2H]C([2H])(CCNCC)N,-0.4
4368,[2H]CCCCCl,2.6
4369,CCCC(CC)[CH-]C,4.3
4370,C=CCNBr,0.9
4371,C(C(CCl)Br)O,1.0
4372,CC(O)OCl,0.7
4373,C1CCO[CH]C1,0.9
4374,CI=O,0.8
4375,CCOCCNI,0.4
4376,C(N)OSI,0.5
4377,C[C@@H](COC)[NH3+],-0.4
4378,CC(SS)I,2.1
4379,[3H]C1=C(C(=C(C(=C1[3H])[3H])[3H])[3H])[3H],2.1
4380,CC(C)(C)NCl,1.1
4381,CCOCOOC,0.4
4382,CCP(Cl)Cl,1.9
4383,[2H]C([2H])(C)CCCO,1.6
4384,CCSC[C@H](C)O,1.0
4385,CCCCN(C)Cl,1.8
4386,CNCCNCl,-0.3
4387,[2H]C1CCCCCCC1([2H])[2H],4.5
4388,CC(N)(N)S,-0.9
4389,C[P+](O)(O)Br,-0.1
4390,COC([CH2])OC,0.5
4391,C(C(CF)CF)N,0.2
4392,CCP=NP,0.3
4393,CCC(CCF)N,0.9
4394,CCN(C)NI,0.7
4395,CCCSCCO,1.1
4396,CCCNCl,1.0
4397,[3H]N(C)CN(C)C,-0.1
4398,C(COI)N,0.0
4399,C(CSCCO)O,-0.6
4400,C(O)P(CO)CO,-1.8
4401,CS[P+](=O)[O-],-0.8
4402,[CH2-]C[C+](C[CH2+])C[S-],2.6
4403,C(N=O)(Br)Br,1.3
4404,C([C@@H](CBr)F)Cl,2.0
4405,C(=O)[C@@H](Cl)Br,1.2
4406,C=C[CH]CCl,1.9
4407,C(CCl)C(Br)Br,2.9
4408,C(CNCl)CF,0.8
4409,C(COOCl)OOCl,1.6
4410,C[C](S)SC,1.7
4411,COC[CH]OCCO,-0.9
4412,C=CCONCl,0.8
4413,CSCNCSC,1.3
4414,C1SC(S1)F,2.0
4415,C(CCl)NCCI,1.5
4416,C/C=C\CC[CH2],2.6
4417,CSCCCCCO,1.3
4418,CC(CCBr)I,2.9
4419,C(NNCI)I,1.1
4420,C([C](F)F)O,0.4
4421,CCCCP=S,2.2
4422,C([C@H](N)O)Br,-0.5
4423,CCC[NH+](O)[O-],0.1
4424,CN(C)C(Cl)I,1.8
4425,COCCOI,0.6
4426,CCCCCOI,2.7
4427,C(C(CI)F)F,2.1
4428,CCOCCNF,0.1
4429,CCC(C)CNP,1.4
4430,CCSNN,-0.1
4431,CC(C)[S]=O,1.2
4432,C[I-]C,2.2
4433,CC(CCF)CCF,2.4
4434,CCCCC(C)P,2.1
4435,CSCCCNO,0.3
4436,C1=C=C=PO1,-0.7
4437,CCCC(CCC)O,2.2
4438,[2H][13CH]([13C@@]([2H])(CO)O)O,-1.8
4439,[2H]C1(NCCS1)[2H],0.3
4440,CCCOBr,1.9
4441,CP=IF,1.1
4442,CCCCCOCC,2.6
4443,C[I-]C#[11C-],1.8
4444,[2H]C([2H])([2H])C([2H])([2H])C([2H])(CCC)O,1.7
4445,C(CI)Br,2.1
4446,CC(CN)CN,-0.9
4447,CSP(F)F,1.5
4448,CC(CCCI)P,2.3
4449,CN([11CH3])CCO,-0.4
4450,C[C@H](CNC)CO,-0.1
4451,COCCC(N)N,-1.3
4452,CCOPOCC,0.7
4453,CNCBr,0.7
4454,C1COPPC1,0.0
4455,C(CCCl)COBr,2.3
4456,CCCCONO,0.6
4457,C(C(CBr)O)S,0.7
4458,C1CCO[NH2+]C1,0.3
4459,[2H]C(CCC)CO,1.6
4460,C[C@H](CCN)Br,0.8
4461,CCCPP,0.7
4462,CC(C)CCPC,1.6
4463,C(OC(Cl)Cl)Cl,2.2
4464,C[IH+],1.5
4465,[2H]C1C(C(C(C(C1([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H])([2H])[2H],3.4
4466,CCCOSS,1.9
4467,CC1CCC[CH]1,3.4
4468,C[C@@H](COC)NC,0.1
4469,C(=C/I)\Br,2.1
4470,CCCCCC,3.9
